date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20110101,2011-01-01,2011,1,1,January,1,7,Saturday,true
20110102,2011-01-02,2011,1,1,January,2,1,Sunday,true
20110103,2011-01-03,2011,1,1,January,3,2,Monday,false
20110104,2011-01-04,2011,1,1,January,4,3,Tuesday,false
20110105,2011-01-05,2011,1,1,January,5,4,Wednesday,false
20110106,2011-01-06,2011,1,1,January,6,5,Thursday,false
20110107,2011-01-07,2011,1,1,January,7,6,Friday,false
20110108,2011-01-08,2011,1,1,January,8,7,Saturday,true
20110109,2011-01-09,2011,1,1,January,9,1,Sunday,true
20110110,2011-01-10,2011,1,1,January,10,2,Monday,false
